From	Entry	Entry Name	EC number
AT1G17290	F4I7I0	ALAT1_ARATH	2.6.1.-; 2.6.1.2
AT1G19530	A0A384LJ03	A0A384LJ03_ARATH	
AT1G26270	Q9C671	P4KG5_ARATH	2.7.1.67
AT1G33055	Q94K21	Q94K21_ARATH	
AT1G35140	Q9C6E4	EXOL1_ARATH	
AT1G43800	Q84VY3	STAD6_ARATH	1.14.19.2
AT1G55810	Q8VYB2	UKL3_ARATH	2.4.2.9; 2.7.1.48
AT1G55810	A0A1P8AWK0	A0A1P8AWK0_ARATH	2.7.1.48
AT1G55810	A0A1P8AWM1	A0A1P8AWM1_ARATH	2.7.1.48
AT1G63090	Q9CAN4	P2A11_ARATH	
AT1G72940	Q9SSN2	Q9SSN2_ARATH	
AT1G74940	Q8GRN0	FLZ13_ARATH	
AT1G76650	Q9SRE6	CML38_ARATH	
AT1G77120	P06525	ADH1_ARATH	1.1.1.1
AT2G16060	O24520	HBL1_ARATH	1.7.2.-
AT2G17850	F4IPI4	STR17_ARATH	
AT2G17850	A0A1P8B1H1	A0A1P8B1H1_ARATH	
AT2G17850	A0A1P8B1H4	A0A1P8B1H4_ARATH	
AT2G19590	Q9ZUN4	ACCO1_ARATH	1.14.17.4
AT2G19590	A0A1P8B1D8	A0A1P8B1D8_ARATH	1.14.17.4
AT2G34390	Q8W037	NIP21_ARATH	
AT2G34390	A0A1P8AYR6	A0A1P8AYR6_ARATH	
AT2G34390	A0A1P8AYX5	A0A1P8AYX5_ARATH	
AT2G34390	A0A1P8AYY0	A0A1P8AYY0_ARATH	
AT2G47520	O22259	ERF71_ARATH	
AT3G02550	Q9M886	LBD41_ARATH	
AT3G10040	Q8RWY5	Q8RWY5_ARATH	
AT3G17860	Q9LVI4	TIF6B_ARATH	
AT3G17860	A0A7G2EQS9	A0A7G2EQS9_ARATH	
AT3G17860	A8MR24	A8MR24_ARATH	
AT3G23150	Q0WPQ2	ETR2_ARATH	2.7.11.-
AT3G23150	A0A1I9LQU7	A0A1I9LQU7_ARATH	
AT3G23170	Q9LTD3	Q9LTD3_ARATH	
AT3G27220	Q9LK31	Y3272_ARATH	
AT3G43190	Q9LXL5	SUS4_ARATH	2.4.1.13
AT3G61060	Q9LEX0	P2A13_ARATH	
AT3G61060	F4JD33	F4JD33_ARATH	
AT4G10270	A0A5S9XQX7	A0A5S9XQX7_ARATH	
AT4G17670	Q8VZM9	FLZ2_ARATH	
AT4G22780	Q8LJW1	ACR7_ARATH	
AT4G24110	A0A178USN3	A0A178USN3_ARATH	
AT4G27450	A0A178V0I5	A0A178V0I5_ARATH	
AT4G32840	Q9M076	PFKA6_ARATH	2.7.1.11
AT4G33070	O82647	PDC1_ARATH	4.1.1.1
AT4G33560	O81873	O81873_ARATH	
AT4G39675	A0A654FXG9	A0A654FXG9_ARATH	
AT5G02200	A8MR65	FHL_ARATH	
AT5G10040	Q9LX24	Q9LX24_ARATH	
AT5G15120	Q9LXG9	PCO1_ARATH	1.13.11.20
AT5G26200	Q93YZ9	Q93YZ9_ARATH	
AT5G39890	Q8LGJ5	PCO2_ARATH	1.13.11.20
AT5G39890	A0A1P8BCH5	A0A1P8BCH5_ARATH	1.13.11.20
AT5G42200	Q8L9W3	ATL23_ARATH	2.3.2.27
AT5G44730	A0A178UJ81	A0A178UJ81_ARATH	
AT5G45340	Q9FH76	ABAH3_ARATH	1.14.14.137
AT5G47060	Q9FGQ9	FLZ1_ARATH	
AT5G47910	Q9FIJ0	RBOHD_ARATH	1.11.1.-; 1.6.3.-
AT5G54960	Q9FFT4	PDC2_ARATH	4.1.1.1
AT5G58070	Q9FGT8	TIL_ARATH	
AT5G61440	Q9XFI1	TRL12_ARATH	
AT5G61440	A0A1P8B9R7	A0A1P8B9R7_ARATH	
AT5G62520	Q9FJJ3	SRO5_ARATH	
AT5G66985	A0A178UG74	A0A178UG74_ARATH	
